Activity Name,Type,Instruction/Content,Activity Image,Media,Quests (Goals),Concerns,Related Behaviors,Tag
be mindful of my facial reaction to kids' behavior,Yes/No,"Title: Being Mindful of Facial Reactions

Instructions:

Step 1: Set the intention
Begin by setting the intention to be mindful of your facial reactions to kids' behavior. Understand that your facial expressions can have an impact on how others perceive you and how they feel. Decide to be aware of your reactions and make an effort to respond in a way that promotes positive interactions.

Step 2: Observe your facial expressions
Throughout the day, pay close attention to your facial expressions when you interact with kids. Notice if your face automatically shows emotions like anger, frustration, or disapproval. Remember, it's okay to have these emotions, but being mindful means being aware of how they affect your interactions.

Step 3: Take a deep breath and pause
When you notice a negative facial reaction arising, take a deep breath and pause for a moment. This pause will help you regain control and prevent an immediate, potentially negative response. Use this time to gather your thoughts and consider how you want to respond instead.

Step 4: Choose a positive facial expression
Consciously choose a positive facial expression that aligns with the behavior you want to display. A smile, a calm face, or an expression of understanding can help create a more positive and supportive environment. Remember, your facial expressions can influence the behavior and emotions of those around you.

Step 5: Practice, reflect, and adjust
Continue practicing being mindful of your facial reactions to kids' behavior. After each interaction, reflect on how your facial expressions affected the situation and the child involved. If you notice room for improvement, make adjustments and try again. Over time, this practice will become more natural and effortless.

Narrative Example:

Once upon a time, there was a sixth-grader named Alex who wanted to be more mindful of their facial reactions to kids' behavior. Alex understood that sometimes their automatic facial expressions could come across as angry or disapproving, even when they didn't mean to. So, Alex decided to follow a simple five-step plan.

First, Alex set the intention to be more mindful and aware of their facial reactions. They realized that their expressions could influence how others felt and wanted to create a positive impact. 

Throughout the day, Alex observed their facial expressions closely whenever they interacted with their classmates. They noticed that sometimes their face automatically showed frustration or annoyance, even when the situation didn't warrant it.

When a negative facial reaction arose, Alex remembered to take a deep breath and pause. This helped them gather their thoughts and prevented them from responding immediately with a negative expression. 

Next, Alex consciously chose a positive facial expression that matched the behavior they wanted to display. They practiced smiling, keeping a calm face, and showing understanding towards their classmates.

After each interaction, Alex reflected on how their facial expressions affected the situation and the child involved. They noticed that their positive expressions created a more supportive and friendly environment. If Alex noticed any areas for improvement, they adjusted their approach and tried again.

With time and practice, Alex became more skilled at being mindful of their facial reactions to kids' behavior. Their positive expressions helped create a happier and more harmonious classroom environment, and they felt more connected to their classmates as a result.",,,,"Parenting Stress,Good Families",,
be mindful of my volume (don't raise my voice),Yes/No,"Title: Mindful Volume Control: Instructions for Maintaining a Calm Voice

Step 1: Understand the Importance of Mindful Volume Control
To effectively communicate and maintain positive social interactions, it is essential to be mindful of your volume and not raise your voice unnecessarily. By controlling your volume, you can enhance your communication skills and create a more peaceful environment.

Step 2: Recognize the Cues
Pay attention to the cues around you that indicate when it is necessary to adjust your volume. These cues may include:

- Being in a quiet environment, such as a library or classroom
- Speaking to someone who is close by or nearby
- Engaging in a conversation where others are speaking softly

Step 3: Take a Deep Breath and Assess
Before speaking, take a deep breath to center yourself. Ask yourself, ""Is my current volume appropriate for the situation?"" If you believe your volume is too loud, follow the next step.

Step 4: Adjust Your Volume
Lower your volume by consciously speaking softer and more gently. Imagine that you are talking to someone who is just a few feet away from you, so there is no need to raise your voice. Practice speaking softly, yet clearly, to ensure your message is still effectively conveyed.

Step 5: Reflect and Adjust as Needed
After implementing the mindful volume control technique, reflect on how it went. Did you successfully maintain a calm voice without raising your volume? If not, identify the challenges you faced and adjust your approach accordingly. Remember, practice makes perfect, so continue to be mindful of your volume in various situations to improve over time.

Example Narrative:
Once upon a time, there was a fictional character named Alex, a sixth-grader who wanted to improve their volume control. Alex noticed that during class discussions, they would unintentionally raise their voice, leading to disruptions. To address this, Alex decided to try the mindful volume control technique.

One day, during a quiet reading session in the school library, Alex felt the urge to share an interesting fact with their friend, Emily. Remembering the mindful volume control technique, Alex took a deep breath and assessed the situation. They noticed the library was silent, and others were engrossed in their books.

Realizing that speaking too loudly would disturb others, Alex adjusted their volume. They spoke in a softer and gentler tone, making sure to enunciate their words clearly. Emily, who was sitting nearby, heard Alex perfectly without feeling overwhelmed by the volume.

Afterward, Alex reflected on the experience and felt proud of their accomplishment. They recognized that being mindful of their volume had allowed them to communicate effectively without causing disruptions. Alex continued to practice this technique in various situations, gradually improving their volume control skills.

Remember, just like Alex, you can successfully implement mindful volume control by following these simple steps. Practice regularly, and over time, it will become a natural part of your communication style.",,,,"Parenting Stress,Good Families",,
Be ready for school or work on time,Yes/No,"Title: Be Ready for School or Work on Time

Step 1: Plan Ahead
- The night before, make a to-do list of all the tasks you need to complete before leaving for school or work. This may include packing your bag, preparing your lunch, and choosing your outfit.
- Set a specific time to wake up in the morning, ensuring you have enough time to get ready without feeling rushed.

Step 2: Establish a Routine
- Create a morning routine that includes the necessary activities to get ready on time. This could involve tasks such as brushing your teeth, taking a shower, getting dressed, and having breakfast.
- Stick to your routine consistently to develop a habit and make it easier to follow each day.

Step 3: Minimize Distractions
- Remove any potential distractions that could cause delays or make you lose track of time. This may involve turning off your phone, limiting TV or video game usage, or avoiding unnecessary conversations until you're ready to leave.

Step 4: Practice Time Management
- Use a timer or alarm clock to keep track of time while getting ready. Set specific time limits for each task to ensure you allocate enough time for everything.
- If you find yourself falling behind schedule, adjust your routine accordingly by prioritizing essential tasks and leaving non-essential ones for later.

Step 5: Seek Support
- If you're struggling to be ready on time, seek support from a trusted adult, such as a parent, guardian, or teacher. They can provide guidance, reminders, or even help you troubleshoot any challenges you may be facing.

Example: Meet Sarah
Sarah, a sixth-grader, used to struggle with being ready for school on time. She would often forget to pack her backpack, take too long getting dressed, and end up rushing through her morning routine. This resulted in her frequently being late to school.

However, Sarah decided to implement the following steps:

1. The night before, Sarah made a to-do list, ensuring she packed her backpack, prepared her lunch, and chose her outfit.
2. She set her alarm clock to wake up 30 minutes earlier, giving herself ample time for her morning routine.
3. Sarah removed distractions by turning off her phone and avoiding any unnecessary conversations until she was ready to leave.
4. She used a timer to keep track of time while getting ready, allocating specific time limits for each task.
5. Sarah sought support from her mom, who reminded her of the importance of being on time and encouraged her to follow her routine consistently.

By following these steps, Sarah successfully transformed her morning routine. She became more organized, managed her time effectively, and consistently arrived at school on time. This positive change not only reduced her stress but also allowed her to start her day feeling prepared and focused.",,,Plan better (time management),"Executive Functioning Skills,Personal Care and Hygiene",,
Be willing to ask for and accept help,Yes/No,"Title: Be Willing to Ask for and Accept Help

Instructions:
1. Understand the Importance of Asking for and Accepting Help:
   - Recognize that asking for and accepting help is a sign of strength, not weakness.
   - Understand that seeking assistance can lead to better outcomes and personal growth.
   - Realize that everyone needs support at some point in their lives.

2. Identify Areas Where Help is Needed:
   - Reflect on your strengths and weaknesses in different areas of your life (e.g., academics, friendships, hobbies).
   - Consider situations where you may feel overwhelmed or stuck.
   - Determine which areas could benefit from the assistance of others.

3. Seek Help from Appropriate Sources:
   - Identify people who can offer assistance, such as teachers, friends, family members, or mentors.
   - Approach individuals who have expertise in the specific area where you need help.
   - Reach out to trusted individuals whom you feel comfortable asking for support.

4. Communicate Clearly and Respectfully:
   - Express your need for help in a clear and polite manner.
   - Clearly articulate what you are struggling with and how you think the person can assist you.
   - Use active listening skills to understand the advice or guidance being offered.

5. Accept Help with Gratitude and Openness:
   - Be open to receiving help without judgment or resistance.
   - Show gratitude to the person who is offering their support.
   - Implement the advice or assistance provided and reflect on the positive impact it has on your situation.

Example Narrative:
Once upon a time, there was a sixth-grader named Alex who loved playing soccer. Alex had been struggling with improving their dribbling skills and wanted to seek help. They remembered their coach mentioning that they could ask older players for guidance. Alex decided to follow these steps:

Step 1: Alex understood that asking for help would make them a better player and not a sign of weakness. They realized that even professional athletes have coaches to help them improve.

Step 2: Alex identified that their weakness was in dribbling. They struggled to maintain control of the ball while running past opponents.

Step 3: Alex approached Sarah, a skilled soccer player from the eighth grade, for guidance. Sarah had excellent dribbling skills and was known for her ability to maneuver through defenders effortlessly.

Step 4: Alex politely asked Sarah if she would be willing to help them improve their dribbling skills. Alex explained their struggle and asked if Sarah could share any tips or exercises.

Step 5: Sarah gladly agreed to help and showed Alex different dribbling techniques. She explained how to position the body, use specific footwork, and recommended practice drills. Alex listened attentively, thanked Sarah for her help, and started incorporating the new techniques into their practice sessions.

Over time, with Sarah's guidance and their willingness to ask for help, Alex's dribbling skills improved significantly. They became more confident on the field and even started mentoring younger players who struggled with the same issue.

Remember, asking for and accepting help is a valuable skill that can lead to personal growth and success in various aspects of life.",,,Self advocacy. Set myself up for success.,"Self-Regulation and Coping,Estranged families,Autism (Self)",,
Become more self aware by doing the wellness check in everyday,Yes/No,"Title: Becoming More Self-Aware: The Everyday Wellness Check

Objective: By completing the Everyday Wellness Check, you will develop self-awareness and gain insights into your emotions, thoughts, and behaviors. This will help you make positive changes and improve your overall well-being.

Instructions:

Step 1: Set a Daily Reminder
Find a time during the day when you can consistently complete the Everyday Wellness Check. Set a daily reminder on your phone or use a physical reminder like a sticky note.

Step 2: Find a Quiet and Comfortable Space
Choose a quiet and comfortable space where you can focus without distractions. It could be your bedroom, a cozy corner, or any place where you feel calm and relaxed.

Step 3: Reflect on Your Day
Take a few moments to reflect on your day. Think about how you felt, what happened, and how you responded to different situations. Consider your emotions, thoughts, and behaviors.

Step 4: Complete the Everyday Wellness Check-In
Using the provided template or a notebook, write down your responses to the following questions:

- How am I feeling right now? (Choose from a range of emotions such as happy, sad, angry, anxious, etc.)
- What thoughts are going through my mind?
- What specific situations or events influenced my emotions and thoughts?
- Did my behaviors align with my values and goals?
- Is there anything I can learn from today's experiences to make positive changes tomorrow?

Step 5: Review and Reflect
After completing the Everyday Wellness Check, take a moment to review your responses. Reflect on any patterns, trends, or insights you notice. Consider what you can do differently to improve your emotional well-being and align your behaviors with your values and goals.

Example:
Once upon a time, there was a fictional character named Alex, a sixth-grader who wanted to become more self-aware. Alex followed the instructions and began doing the Everyday Wellness Check every day.

At the beginning of each day, Alex set a reminder on their phone to complete the Wellness Check. In the afternoon, after school, they found a quiet and cozy spot in their room where they could focus without distractions.

Alex reflected on their day, thinking about how they felt, what happened, and how they responded to different situations. They considered their emotions, thoughts, and behaviors. Then, using the provided template, Alex answered the questions in the Everyday Wellness Check-In.

After completing the check-in, Alex took a moment to review their responses. They noticed that they often felt anxious during math class and had negative thoughts about their abilities. They also realized that their behaviors, such as avoiding asking questions in class, were not aligned with their goal of improving in math.

With this newfound awareness, Alex decided to seek help from their teacher and study more effectively. Over time, their anxiety decreased, and their math skills improved. By consistently practicing the Everyday Wellness Check, Alex became more self-aware and made positive changes to enhance their overall well-being.

Remember, completing the Everyday Wellness Check regularly will help you gain insights into yourself and guide you towards a more fulfilling and balanced life.",,,"Take charge of my mental health,Improve anger management.","Executive Functioning Skills,Anger Management",,
"Block out extra transition time between activities, so I arrive on-time.",Yes/No,"Title: Arrive on Time: Block out Extra Transition Time between Activities

Objective: The objective of this activity is to help you manage your time effectively by blocking out extra transition time between activities, so you can arrive on time.

Materials needed: A calendar or planner, a watch or clock

Instructions:

Step 1: Plan and Prioritize
- Take a few minutes at the beginning of each day or the night before to plan out your activities for the day.
- Write down a list of activities or tasks you need to complete, including any scheduled appointments or commitments.
- Prioritize the tasks based on their importance and deadlines.

Step 2: Estimate Transition Time
- For each activity or task, estimate the amount of time you think it will take to complete.
- Consider the time needed to transition from one activity to another (e.g., getting ready, traveling, packing up).
- Be realistic in your estimates and allow some extra time for unexpected delays or interruptions.

Step 3: Block Out Extra Transition Time
- Look at your calendar or planner and identify any gaps or breaks between activities.
- Add extra transition time to these gaps by extending the duration of the previous activity or starting the next activity a little later.
- Aim to have at least 10-15 minutes of extra transition time between activities.

Step 4: Set Reminders and Use a Timer
- Set reminders on your phone or use an alarm clock to help you stay aware of the time and transition between activities.
- When transitioning from one activity to another, set a timer for the allocated transition time.
- Use the timer as a visual reminder to stay on track and finish up the current activity before moving on to the next.

Step 5: Practice and Reflect
- Implement this strategy consistently for a few days or weeks to establish a routine.
- Reflect on how effective the extra transition time has been in helping you arrive on time.
- Make adjustments as needed, such as increasing or decreasing the amount of extra transition time based on your observations.

Example:

Once upon a time, there was a fictional character named Sarah, a sixth-grader who often struggled to arrive on time for her activities. Sarah decided to try blocking out extra transition time between her activities, so she could improve her punctuality.

Step 1: Sarah started by planning and prioritizing her activities each day. She wrote down her tasks and appointments, making sure to prioritize them based on their importance and deadlines.

Step 2: For each activity, Sarah estimated the time it would take to complete and factored in the transition time. She considered things like getting ready, traveling, and packing up.

Step 3: Sarah looked at her calendar and identified gaps between activities. She added extra transition time by extending the previous activity or starting the next one a little later. She aimed for at least 10-15 minutes of extra transition time.

Step 4: To stay aware of the time and transition between activities, Sarah set reminders on her phone. She also used a timer during transitions, which helped her visualize the allocated transition time and stay on track.

Step 5: Sarah practiced this strategy consistently for a few weeks. She noticed that by blocking out extra transition time, she was able to arrive on time more frequently. She reflected on her progress and made adjustments as needed.

By following these steps, Sarah successfully improved her time management skills and became more punctual in her daily activities.",,,Plan better (time management),Executive Functioning Skills,Procrastinating,
brush my teeth without being reminded,Yes/No,"Title: Becoming a Responsible Tooth Brusher

Instructions for Brushing Teeth Without Being Reminded

Step 1: Set a Consistent Routine
- Choose a specific time to brush your teeth every day, such as after breakfast or before bedtime.
- Set a reminder on your phone or use an alarm clock to help you remember.

Step 2: Gather Your Supplies
- Make sure you have everything you need before starting. You will need a toothbrush, toothpaste, and a cup of water.

Step 3: Wet, Apply, and Brush
- Wet your toothbrush under running water.
- Apply a pea-sized amount of toothpaste to your toothbrush.
- Hold your toothbrush at a 45-degree angle against your teeth and gums.
- Use gentle circular motions to brush all surfaces of your teeth, including the front, back, and chewing surfaces.
- Remember to brush your tongue too! This helps keep your breath fresh.

Step 4: Rinse and Spit
- Rinse your mouth with water from the cup.
- Spit out the water and toothpaste into the sink.
- Rinse your toothbrush thoroughly and store it in a clean, dry place.

Step 5: Celebrate Your Success
- Take a moment to congratulate yourself for completing this important task independently!
- You can reward yourself with a smile in the mirror or a sticker on a chart to track your progress.

Example Narrative:

Once upon a time, there was a young girl named Emma who wanted to become a responsible tooth brusher. She understood the importance of taking care of her teeth and wanted to do it without needing reminders from her parents.

Emma decided to set a consistent routine for brushing her teeth. Every night before bed, she would go to the bathroom and get ready for her tooth brushing session. She set an alarm on her phone for 8:30 PM to remind her that it was time to brush her teeth.

When the alarm went off, Emma gathered her toothbrush, toothpaste, and a cup of water. She wet her toothbrush under running water and applied a small amount of toothpaste. Holding her toothbrush at a 45-degree angle, she used gentle circular motions to brush all surfaces of her teeth. Emma made sure to spend enough time brushing and paid extra attention to her back teeth and tongue.

After brushing, Emma rinsed her mouth with the water in the cup and spat out the toothpaste into the sink. She rinsed her toothbrush thoroughly and stored it in a clean, dry place.

Emma felt proud of herself for successfully completing the task without needing reminders. She rewarded herself with a big smile in the mirror and added a sticker to her tooth brushing chart, marking her progress.

Remember, being a responsible tooth brusher is an important part of maintaining good oral health. With practice and consistency, you too can become a tooth brushing superstar!",,,Regular self-care ,"Declining physical health,Executive Functioning Skills,Personal Care and Hygiene,Maintaining Employment",,
Brush/comb my hair,Yes/No,"Title: Brush/Comb Your Hair

Objective: To effectively brush/comb your hair for a neat and tidy appearance.

Instructions:

Step 1: Prepare your tools
- Gather a hairbrush or comb, depending on your hair type and preference.
- Ensure that your hairbrush or comb is clean and free from any tangles or debris.

Step 2: Start from the bottom
- Begin by gently detangling the ends of your hair using your fingers or a wide-toothed comb.
- Hold your hair with one hand to prevent any discomfort or pulling.

Step 3: Brush/comb in sections
- Divide your hair into small sections, starting from the back and moving towards the front.
- Hold each section with one hand and brush/comb through it slowly, starting from the roots and working your way to the ends.
- Use long, smooth strokes to avoid causing any hair breakage.

Step 4: Pay attention to knots or tangles
- If you encounter any knots or tangles, pause and gently work them out using your fingers or a wide-toothed comb.
- Avoid pulling or yanking your hair, as it may cause damage.

Step 5: Finish with a final brush/comb
- Once you have brushed/combed through all sections of your hair, give it a final overall brush/comb to ensure a neat and smooth appearance.
- Check for any missed tangles or knots and address them before finishing.

Example of the instruction successfully implemented:

Meet Sarah, a fictional sixth-grader who wants to brush her hair before heading to school. Sarah follows the steps to brush her long, wavy hair:

Step 1: Sarah gathers her hairbrush from her dresser. She checks that it is clean and free from any tangles or debris.

Step 2: Sarah starts by gently detangling the ends of her hair using her fingers. She holds her hair with one hand to prevent any discomfort or pulling.

Step 3: Sarah divides her hair into small sections, starting from the back. She holds each section with one hand and slowly brushes through it, starting from the roots and working her way to the ends. Sarah uses long, smooth strokes to avoid causing any hair breakage.

Step 4: Sarah notices a small knot in one section of her hair. She pauses and gently works it out using her fingers. Sarah makes sure not to pull or yank her hair to prevent damage.

Step 5: After brushing through all sections of her hair, Sarah gives it a final overall brush. She checks for any missed tangles or knots and addresses them before finishing. Sarah admires her neatly brushed hair in the mirror, feeling confident and ready for the day ahead.",,,"Regular self-care ,Glow up and look more fabulous","Declining physical health,Executive Functioning Skills,Personal Care and Hygiene",,
call a friend instead of the bad habit I'm trying to break,Yes/No,"Instructions: Calling a Friend Instead of a Bad Habit

Step 1: Identify the bad habit you want to break.
- Think about the habit that you want to change. It could be something like biting your nails, procrastinating, or spending too much time on video games.

Step 2: Choose a trusted friend to call when you feel the urge to engage in the bad habit.
- Select a friend who understands your goal and is supportive of your desire to change.
- Make sure you feel comfortable talking to this friend about your struggles and seeking their help when needed.

Step 3: Communicate with your friend about your plan.
- Let your friend know about your intention to break the bad habit and ask for their assistance.
- Explain to them that you would like to call them whenever you feel the urge to engage in the bad habit instead.

Step 4: Create a signal or code word.
- Establish a signal or code word with your friend that indicates you need their support.
- It can be as simple as saying ""Code Red"" or showing a specific hand gesture.

Step 5: Reach out to your friend when you feel the urge to engage in the bad habit.
- Whenever you find yourself tempted to engage in the bad habit, take a moment to pause and remember your plan.
- Use the signal or code word to communicate with your friend, either through a phone call or a text message.
- Share your struggle with them and ask for their encouragement and guidance.

Example:
Once upon a time, there was a sixth-grader named Sarah who wanted to break her habit of biting her nails. She knew it wasn't healthy for her nails and wanted to find a better way to cope with stress. Sarah decided to call her best friend, Emma, instead of biting her nails.

One day, Sarah felt the strong urge to bite her nails while watching a movie. She remembered her plan and quickly grabbed her phone. She sent a text message to Emma with the code word they had agreed upon, ""Code Red."" Emma immediately understood that Sarah needed support.

Within a few minutes, Sarah received a call from Emma. They chatted about the movie and laughed together, distracting Sarah from her urge to bite her nails. By the end of the call, Sarah realized she had successfully avoided her bad habit.

Sarah continued to call Emma whenever she felt the urge to bite her nails, and with each call, she found it easier to resist the temptation. Over time, Sarah's nails grew longer and healthier, and she felt proud of herself for breaking the bad habit with the help of her supportive friend.

Remember, breaking a bad habit takes time and effort, but with the support of a trusted friend, you can achieve your goal.",,,Cut my vices,Self-Regulation and Coping,"Binge drinking,Smoking,Drinking alcohol,Cutting self,Scratching self,Vaping,Overspending,Hair pulling,Biting nails,Taking THC,Severe calorie restriction ,Eating junk food,Pulling hair/eyebrows/eyelashes out,Skin picking",
call my parent(s) or other loved one once a week,Yes/No,"Title: Staying Connected: Call Your Loved Ones Once a Week

Step 1: Set a Reminder
- Find a calendar or a digital reminder app on your phone.
- Choose a specific day and time each week that works best for you to make the call.
- Set a reminder for that day and time, so you won't forget.

Example: Meet Emily, a sixth-grader who wants to stay connected with her grandparents. She decides to set a reminder on her phone for every Sunday at 5:00 pm.

Step 2: Prepare Your Conversation
- Think about what you want to talk about with your loved one.
- Consider asking them about their day, sharing your own experiences, or discussing common interests.
- Jot down a few key points or questions to help you remember what you want to talk about.

Example: Emily prepares her conversation by writing down three things she wants to share with her grandparents: her soccer game, a funny story from school, and a new book she started reading.

Step 3: Choose a Suitable Communication Method
- Decide on the best way to contact your loved one. It could be a phone call, video call, or even a text message.
- Make sure you have their correct phone number or the necessary app installed on your device.
- If you are unsure, ask your parent(s) or guardian(s) for assistance.

Example: Emily knows her grandparents prefer phone calls, so she chooses to call them using the phone number saved in her contacts.

Step 4: Make the Call
- When your reminder goes off, find a quiet and comfortable place to make the call.
- Dial the phone number of your loved one or open the communication app.
- Start the conversation by greeting them warmly and asking how they are doing.
- Share your news and listen actively to what they have to say.
- Remember to be polite, kind, and patient during the call.

Example: On Sunday at 5:00 pm, Emily finds a cozy spot in her room, dials her grandparents' number, and says, ""Hi Grandma and Grandpa! How are you? I have so much to tell you!""

Step 5: Reflect and Continue
- After the call, take a moment to reflect on the conversation. What did you enjoy most? What could you improve for next time?
- If you missed a call or were unable to connect, don't worry. Schedule a new time or try again next week.
- Keep up the routine by repeating steps 1 to 4 every week to maintain a strong and loving connection with your loved one.

Example: Emily ends the call feeling happy and satisfied. She knows she will continue calling her grandparents every Sunday at 5:00 pm, and she can't wait to share more stories with them.

Remember, building and maintaining connections with loved ones is essential for our social and emotional well-being. Regular communication helps us stay connected, share experiences, and support one another.",,,"Deepen the most important relationships,Maintain relationships with far-away loved ones","Bad Friends,Good Families,Communications,Estranged families",No associated behavior,
calmly say when something is too hard,Yes/No,"Title: Calmly Communicating When Something is Too Hard

Instructions:

Step 1: Identify your feelings
Take a moment to reflect on how you are feeling. Is the task making you frustrated, overwhelmed, or stressed? Understanding and acknowledging your emotions is an important first step.

Step 2: Take a deep breath
Inhale deeply through your nose, and then exhale slowly through your mouth. This simple breathing technique can help you feel more calm and centered, allowing you to communicate effectively.

Step 3: Find a quiet moment
Look for a suitable opportunity to talk to the person or people involved. It's important to choose a time when everyone is calm and not in the middle of a heated discussion or activity.

Step 4: Use ""I"" statements
When you're ready to express that something is too hard, use ""I"" statements to communicate your feelings without blaming or accusing others. For example, you can say, ""I am finding this task difficult and need some assistance.""

Step 5: Seek support
If you're struggling with a task, don't hesitate to ask for help or guidance. You can ask a teacher, a friend, or a family member for assistance, or even suggest alternative ways to approach the task.

Example:

Once upon a time, there was a fictional character named Alex who was in sixth grade. Alex loved learning new things but sometimes found certain tasks to be challenging. One day, during a math class, Alex was assigned a complex problem that felt overwhelming.

Step 1: Alex noticed a wave of frustration and stress building up inside. Recognizing these feelings, Alex knew it was important to address them calmly.

Step 2: Taking a deep breath, Alex closed the textbook for a moment and focused on deep breathing, inhaling and exhaling slowly. The breathing exercise helped Alex regain composure and feel more relaxed.

Step 3: Alex waited for an appropriate time to talk to the math teacher. After class, when the teacher was available and not busy, Alex approached with a calm demeanor.

Step 4: Using ""I"" statements, Alex explained, ""I am finding this math problem to be quite challenging, and I'm not sure how to approach it. Can you provide some guidance or explain it in a different way?""

Step 5: The teacher appreciated Alex's calm and respectful approach. Recognizing the difficulty, the teacher provided additional examples and strategies to help Alex understand the problem better.

In this example, Alex successfully implemented the instruction by calmly communicating when the math problem felt too hard. By using ""I"" statements and seeking support, Alex was able to address the challenge effectively and receive the assistance needed to overcome it.",,,"Build resilience by failing well,Winning and losing graciously","Self-Regulation and Coping,Executive Functioning Skills,Communications,Hyperactivity/Inattention","Doing something other than assignment,Doing nothing",
Can you tell me about one thing that makes you feel unhappy? Or sad or worried?,Text,"Instructions: Can you tell me about one thing that makes you feel unhappy? Or sad or worried?

Step 1: Find a quiet and comfortable space where you can reflect on your feelings. It could be in your room, a cozy corner, or even outside in nature.

Example: Sarah, a sixth-grader, decided to sit in her bedroom on her favorite bean bag chair. She made sure the room was quiet and turned off any distractions like her phone or TV.

Step 2: Take a few deep breaths to relax your mind and body. Close your eyes if it helps you focus.

Example: Sarah closed her eyes and took a deep breath in through her nose, feeling her belly rise. She held her breath for a moment and then slowly exhaled through her mouth. She repeated this a few times until she felt calm and centered.

Step 3: Think about something that makes you feel unhappy, sad, or worried. It could be a specific event, a person, or even a situation.

Example: Sarah thought about a recent argument she had with her best friend. It made her feel really sad and worried that their friendship might be in jeopardy.

Step 4: Take a piece of paper or a journal and write down your thoughts and feelings about what makes you feel unhappy, sad, or worried. Be as honest and detailed as you can.

Example: Sarah grabbed her journal and started writing about the argument with her friend. She wrote about how it made her feel left out and hurt. She also wrote about her worries of losing their friendship and how it made her feel sad.

Step 5: After writing down your thoughts and feelings, take a moment to reflect on them. Ask yourself if there is anything you can do to improve the situation or make yourself feel better.

Example: Sarah read over what she wrote and realized that she could try talking to her friend and expressing how she felt. She also thought about reaching out to other friends for support and finding activities that make her happy to distract herself from the sadness.

Remember, it's important to take care of your emotional wellbeing and express your feelings in a healthy way. If you ever feel overwhelmed or need additional support, don't hesitate to reach out to a trusted adult, teacher, or counselor.",,,,,,
Can you tell me about the things you find difficult when making friends? E.g. Is it difficult to start up a conversation?,Text,"Instructions for Can you tell me about the things you find difficult when making friends?

Step 1: Find a quiet and comfortable space where you can reflect on your experiences and feelings. This could be your bedroom, a cozy corner in your house, or anywhere that allows you to focus.

Step 2: Take a few deep breaths to relax your mind and body. Close your eyes if it helps you to concentrate. Think about times when you have found it challenging to make friends. Was it difficult for you to start up a conversation? Were you unsure about how to approach someone? Did you feel anxious or shy? Make a mental note of these difficulties.

Step 3: Now, grab a pen and a piece of paper or open a new document on your computer. Start writing or typing down the things you find difficult when making friends. Be honest with yourself and don't worry about spelling or grammar. Just let your thoughts flow onto the page.

Step 4: After you have finished writing, take a moment to read through what you have written. Reflect on each difficulty you mentioned. Think about why it might be challenging for you and how it makes you feel. Are there any patterns or common themes that emerge?

Step 5: Finally, if you feel comfortable doing so, share your thoughts with someone you trust, like a family member, friend, or teacher. They can provide support and guidance as you navigate these challenges. Remember, it's okay to ask for help when you need it.

Example: 

Meet Sarah, a sixth-grader who often finds it difficult to start up a conversation when making friends. She follows the instructions to reflect on her experiences and feelings.

Step 1: Sarah finds a cozy spot in her bedroom, sits on her favorite bean bag chair, and prepares to think about her difficulties in making friends.

Step 2: She takes a few deep breaths, closes her eyes, and recalls specific instances where she struggled to start a conversation with potential friends. As she thinks about these situations, she becomes aware of her anxiety and shyness.

Step 3: Sarah opens her notebook and starts writing down her difficulties. She jots down phrases like ""feeling nervous to approach new people,"" ""not knowing what to say,"" and ""worried about being judged."" She writes down everything that comes to her mind without worrying about structure or grammar.

Step 4: After finishing her writing, Sarah takes a moment to read through her thoughts. She realizes that her fear of judgment and not knowing what to say are common themes. She understands that these difficulties make her feel insecure and unsure of herself.

Step 5: Feeling brave, Sarah decides to share her thoughts with her older sister, Emma. She trusts Emma and knows that she can offer guidance. Sarah opens up to Emma, who listens attentively and provides some helpful tips and encouragement to overcome her difficulties in starting conversations.

By following these steps, Sarah gains a better understanding of her challenges and receives support in finding ways to make friends more easily.",,,,,,
