id,bullying,confidence,notes,self_harm,severity,text
127,Yes,,,,,You’re the worst
128,Yes,,,,,I hope you fail
129,Yes,,,,,You’re such a disappointment
130,Yes,,,,,Everyone hates you
131,Yes,,,,,You don’t belong here
132,Yes,,,,,You’re an embarrassment
133,Yes,,,,,"Stop trying, you’re bad at everything"
134,Yes,,,,,No one will miss you
135,Yes,,,,,You’re such a failure
136,No,,,,,You’re being dramatic
137,No,,,,,"Calm down, it’s not that serious"
138,No,,,,,You’re so funny
139,No,,,,,That was a dumb mistake
140,No,,,,,You’re acting weird
141,No,,,,,Don’t be so sensitive
142,No,,,,,You’re overreacting
143,No,,,,,I don’t agree with you
144,No,,,,,You’re a bit annoying sometimes
145,No,,,,,That’s a stupid idea
146,No,,,,,You should lighten up
147,No,,,,,"It’s just a joke, don’t take it seriously"
148,No,,,,,You’re kind of extra today
149,No,,,,,You need to chill
150,No,,,,,That’s a silly thing to say
151,No,,,,,"You’re weird, but I like it"
152,No,,,,,Don’t sweat the small stuff
153,No,,,,,You’re acting childish
154,No,,,,,That’s an interesting take
155,No,,,,,"You’re joking, right?"
