Texts,Labels
david was eating lunch in the cafeteria when an aide sat down next to him,"""Loud, busy, crowded, or overwhelming environment"",Someone got in their personal space"
"Taking turns with friends on the slide; little brother cut in
  front of her","Belongings disturbed without permission/unexpected,While playing in a large group (like recess),Sudden change of plans or routine"
"Losing at game, sister nearby",Someone out-competed them
"Ms. Kelly tells student
  ""recess will be inside today"", it's raining",Sudden change of plans or routine
jack was stomping his feet and i asked him to walk nicely,"They were given directions or a task to complete,Stopping one activity/task and starting another"
it was sister's birthday and everyone was singing to her,"Others were receiving a lot of attention,""Loud, busy, crowded, or overwhelming environment"""
i asked my husband to please put away the laundry and he did what he always does,"They were given directions or a task to complete,They were in the middle of something they enjoy doing"
BCBA won game (Chutes and Ladders),"Someone out-competed them,Their choice was not honored/accepted"
His brother took his water,Belongings disturbed without permission/unexpected
cousin asked [subject] a question but his brother answered it first before he could,Someone out-competed them
I told him he already had enough snacks and to wait for dinner,"""They wanted something and got told """"no"""""",They were asked or told to wait for something."
"16-year-old Sarah asks her parents for an iPad and they say
  “sorry honey, we really can’t afford one right now”","They wanted something unavailable,""They wanted something and got told """"no"""""""
i said give me your phone,"Asked to stop using something they like,They were given directions or a task to complete,They were in the middle of something they enjoy doing"
"I was on the phone with my friend and my son kept trying to interrupt me, i snapped at him you have to wait","Nobody was really paying attention to them,""Parent/caregiver busy, on phone, talking with someone else"",They were asked or told to wait for something."
my ipad doesn't have the game he wants,"They wanted something unavailable,""They wanted something and got told """"no"""""""
CHILD's pants got wet at the park,"""Physical discomfort (wet, cold, etc.)"""
we were at the store and we passed the toy aisle. jax started reaching to get out of the cart and I told him no but he started to get upset,"I was trying to get something done in peace,""They wanted something and got told """"no"""""""
"he had a lot of rice crackers, he asked for more and I said no","They wanted something unavailable,""They wanted something and got told """"no"""""""
"4-year-old Jimmy is in the bathtub and his mother says “it’s
  time to wash your hair”","Stopping one activity/task and starting another,They were given directions or a task to complete"
her brother took her toy away,"They were in the middle of something they enjoy doing,Another person had an item they want,Belongings disturbed without permission/unexpected"
i had a really stressful day. nothing went according to plan and i was feeling really overwhelmed,Bad day at school or work
"I got home today and I always have a drink when.I get home, but today my day was stressful so I had 2. then I had more.",Bad day at school or work
i was sitting in class and i was sooooooo bored and we still had like 20 min til snack,"During class instruction,They were in the middle of a long task or assignment"
"in math class, mrs J asked the class a question",During class instruction
when I'm driving or sitting for a long time,Nothing to do or play with
it was already noisy in the classroom and the bell rang,"Loud or startling noise,""Loud, busy, crowded, or overwhelming environment"""
"i was already having a rough day when the girls got home and they were already fighting. i was trying to finish up the bills, they wouldn't stop ","The kids are fighting with each other,I was trying to get something done in peace,Bad day at school or work"
