215,Anger ,"difficulty controlling anger or rage, needs help with mindfulness and self-regulation"
216,Clinical Anxiety,"for preclinical, go to stress
"
217,Attendance Problems,"user has problems going to and staying at school or work on time/for required time consistently, frequent call-outs"
218,Autism (Self),"diagnosed with autism (with or without speech delay), pervasive developmental disorder, global delays"
219,Challenging Behaviors,"Do we need separate ones for adult and kids? @Caitlin Ryan Marcus If so the school conduct problem can be for kids.
"
220,Job Hunting,"tough job market, hard to find employment after college even if highly qualified, tons of competition"
221,Communication Deficits,"want to become a more effective communicator, advocate for self, improve relationships
"
222,Bored,"no purpose, nothing to do
"
223,Discrimination/Racism,"user is part of a marginalized group, exclusion, bullying, microaggression"
224,Drug Use,"cocaine, heroin, pills, ketamine, fentanyl, crack cocaine, methamphetamines"
225,Executive Functioning Skills,"user's ability to plan ahead, control impulses. adhd, autism, learning disabilities, intellectual disability, addiction
"
226,Good Families,already pretty good family dynamimcs and motivated to maintain or grow further
227,Build wealth,"want to make more money, save money, invest money"
228,Bad Friends,"bad influences or friends who don't support them.  have these friends but still lonely
"
229,Hyperactivity/Inattention,Pre-ADHD diagnosis
230,Intellectual disability ID,diagnosis of intellectual disability/low IQ
231,Learning disability,"Dyslexia, dysgraphia, auditory processing difficulties, dyspraxia "
232,Poor Marriage,"marriage has problems, arguments, fighting, addiction, etc
"
233,Poor Mental Health,Pre-diagnosis
234,Motivation and procrastination,not quite on top of things but not yet behind on work.  
235,Parenting Stress,"struggling with connecting with kids and discipline
"
236,Perfectionism,Fear of failure and feeling unnecessary stress from perfectionism
237,Personal Care and Hygiene,skills related to taking care of oneself
238,Declining physical health,want to get healthier. general health problems.   no series illnesses
239,Resilience,"giving up too quickly or easily, can't bounce back"
240,Self-Regulation and Coping,"""overreacting"" "
241,Estranged families,"family members on non-speaking terms (i.e. grandparents, siblings)"
242,Need Tolerance Inclusion,"extremists, bigots.  people who need more tolerance"
243,Trauma,"emotional abuse, need help setting boundaries"
244,Stress,general stress management
245,Debt,trying to get rid of debt and save more
246,Sleep Disturbance,"Unhealthy sleeping patterns, like inability to fall or stay asleep, frequent waking at night, consistently getting less than 7 hours per night"
247,Eating Disorder,"anorexia, bulimia, binge eating"
248,Aging,"dealing with natural changes in appearance, physical, mental capacities.  For disease, also tag Poor physical health"
249,Vaping/Smoking,Consuming nicotine vapor or cigarette smoke
250,Maintaining Employment,"keeping up with job duties harder for people with autism, adhd, depression, bipolar, substance abuse"
251,Just Relocated,"moved house recently, assimilation, culture shock, loneliness, making friends"
252,Diagnosed Depression,"diagnosis of depression or persistent depression symptoms, no energy, no pleasure, can escalate to suicide"
253,Behind on work,"boss has noticed loss of productivity, performance improvement plan"
254,FBA,working with an ABA agency or school on obtaining an FBA
255,Sibling Rivalry,"Interpersonal problems or fighting between siblings, need help with communication, boundaries, parent relations"
256,Suicidal Ideations,having thoughts about suicide or dying
257,Suicide Risk,action plans made for suicide and need external support
258,Emotional Abuse,"neglected or gaslit by romantic partner, parent, caregiver, trauma bonds"
259,Divorcing parents,user's parents are separated/divorced or separating/divorcing. 
260,No Friends,"user wants to make friends
"
261,SPED caregiver,burnout and stress from caring for high needs family members
262,Transition to adulthood/independence,"special ed and older teens/young adults who are finishing college, moving out, getting their own place, figuring out how to be independent"
263,Loneliness,"having no friends, feel like they have no one to talk to "
264,Poor social skills,"has a hard time connecting with other people, having smooth conversations, knowing how to act in certain situations"
265,Social anxiety,"difficulty approaching others, ordering food, making phone calls, can also be neurodivergent or have clinical anxiety"
266,Lack of confidence,"wants to gain confidence and feel good about themselves
"
267,Personal Growth and Self-Actualization,this user is seeking more fulfillment and purpose in life
268,Hoarding,
269,Poverty,"living below the poverty line or significant debt. money troubles, no savings, can't pay bills every month"
270,Bipolar,"diagnosed with bipolar 1 or 2, or cyclothymia (a less severe version of BP2)"
271,Chronic illness,"lupus, diabetes, parkinsons, fibromyalgia, multiple sclerosis, and other progressive, terminal, or longterm medical diagnoses"
272,Sportmanship,"sore loser, too competitive"
273,General Intake,
274,Physical abuse,"punching, hitting, choking, scratching, throwing items "
275,Sexual abuse,"unwanted touching, sexual harrassment, rape, sexual assault, adult on adult, adult on minor"
276,Child abuse,need to heal from trauma from past event(s) in childhood
277,Incarcerated parent,"one or both parents are in jail or prison
"
278,Active Abuse,"can be sexual, physical, emotional, neglect, psychological, financial, reproductive"
279,ESL,ESL
280,unhappy with coach,unhappy with coach
281,Better academics,"want/need to do better in school.  If just not doing the work, tag behind on work or motivation/procrastination"
282,Active Quest,user is a primary or participating quester
283,ADHD ,diagnosed with ADHD or suspects ADHD
284,Excess Alcohol,"dealing with stress by excessive drinking, binge drinking, relationships and connectedness"
285,Anger ,"difficulty controlling anger or rage, needs help with mindfulness and self-regulation"
286,Clinical Anxiety,"for preclinical, go to stress
"
287,Attendance Problems,"user has problems going to and staying at school or work on time/for required time consistently, frequent call-outs"
288,Autism (Self),"diagnosed with autism (with or without speech delay), pervasive developmental disorder, global delays"
289,Challenging Behaviors,"Do we need separate ones for adult and kids? @Caitlin Ryan Marcus If so the school conduct problem can be for kids.
"
290,Job Hunting,"tough job market, hard to find employment after college even if highly qualified, tons of competition"
291,Communication Deficits,"want to become a more effective communicator, advocate for self, improve relationships
"
292,Bored,"no purpose, nothing to do
"
293,Discrimination/Racism,"user is part of a marginalized group, exclusion, bullying, microaggression"
294,Drug Use,"cocaine, heroin, pills, ketamine, fentanyl, crack cocaine, methamphetamines"
295,Executive Functioning Skills,"user's ability to plan ahead, control impulses. adhd, autism, learning disabilities, intellectual disability, addiction
"
296,Good Families,already pretty good family dynamimcs and motivated to maintain or grow further
297,Build wealth,"want to make more money, save money, invest money"
298,Bad Friends,"bad influences or friends who don't support them.  have these friends but still lonely
"
299,Hyperactivity/Inattention,Pre-ADHD diagnosis
300,Intellectual disability ID,diagnosis of intellectual disability/low IQ
301,Learning disability,"Dyslexia, dysgraphia, auditory processing difficulties, dyspraxia "
302,Poor Marriage,"marriage has problems, arguments, fighting, addiction, etc
"
303,Poor Mental Health,Pre-diagnosis
304,Motivation and procrastination,not quite on top of things but not yet behind on work.  
305,Parenting Stress,"struggling with connecting with kids and discipline
"
306,Perfectionism,Fear of failure and feeling unnecessary stress from perfectionism
307,Personal Care and Hygiene,skills related to taking care of oneself
308,Declining physical health,want to get healthier. general health problems.   no series illnesses
309,Resilience,"giving up too quickly or easily, can't bounce back"
310,Self-Regulation and Coping,"""overreacting"" "
311,Estranged families,"family members on non-speaking terms (i.e. grandparents, siblings)"
312,Need Tolerance Inclusion,"extremists, bigots.  people who need more tolerance"
313,Trauma,"emotional abuse, need help setting boundaries"
314,Stress,general stress management
315,Debt,trying to get rid of debt and save more
316,Sleep Disturbance,"Unhealthy sleeping patterns, like inability to fall or stay asleep, frequent waking at night, consistently getting less than 7 hours per night"
317,Eating Disorder,"anorexia, bulimia, binge eating"
318,Aging,"dealing with natural changes in appearance, physical, mental capacities.  For disease, also tag Poor physical health"
319,Vaping/Smoking,Consuming nicotine vapor or cigarette smoke
320,Maintaining Employment,"keeping up with job duties harder for people with autism, adhd, depression, bipolar, substance abuse"
321,Just Relocated,"moved house recently, assimilation, culture shock, loneliness, making friends"
322,Diagnosed Depression,"diagnosis of depression or persistent depression symptoms, no energy, no pleasure, can escalate to suicide"
323,Behind on work,"boss has noticed loss of productivity, performance improvement plan"
324,FBA,working with an ABA agency or school on obtaining an FBA
325,Sibling Rivalry,"Interpersonal problems or fighting between siblings, need help with communication, boundaries, parent relations"
326,Suicidal Ideations,having thoughts about suicide or dying
327,Suicide Risk,action plans made for suicide and need external support
328,Emotional Abuse,"neglected or gaslit by romantic partner, parent, caregiver, trauma bonds"
329,Divorcing parents,user's parents are separated/divorced or separating/divorcing. 
330,No Friends,"user wants to make friends
"
331,SPED caregiver,burnout and stress from caring for high needs family members
332,Transition to adulthood/independence,"special ed and older teens/young adults who are finishing college, moving out, getting their own place, figuring out how to be independent"
333,Loneliness,"having no friends, feel like they have no one to talk to "
334,Poor social skills,"has a hard time connecting with other people, having smooth conversations, knowing how to act in certain situations"
335,Social anxiety,"difficulty approaching others, ordering food, making phone calls, can also be neurodivergent or have clinical anxiety"
336,Lack of confidence,"wants to gain confidence and feel good about themselves
"
337,Personal Growth and Self-Actualization,this user is seeking more fulfillment and purpose in life
338,Hoarding,
339,Poverty,"living below the poverty line or significant debt. money troubles, no savings, can't pay bills every month"
340,Bipolar,"diagnosed with bipolar 1 or 2, or cyclothymia (a less severe version of BP2)"
341,Chronic illness,"lupus, diabetes, parkinsons, fibromyalgia, multiple sclerosis, and other progressive, terminal, or longterm medical diagnoses"
342,Sportmanship,"sore loser, too competitive"
343,General Intake,
344,Physical abuse,"punching, hitting, choking, scratching, throwing items "
345,Sexual abuse,"unwanted touching, sexual harrassment, rape, sexual assault, adult on adult, adult on minor"
346,Child abuse,need to heal from trauma from past event(s) in childhood
347,Incarcerated parent,"one or both parents are in jail or prison
"
348,Active Abuse,"can be sexual, physical, emotional, neglect, psychological, financial, reproductive"
349,ESL,ESL
350,unhappy with coach,unhappy with coach
351,Better academics,"want/need to do better in school.  If just not doing the work, tag behind on work or motivation/procrastination"
352,Active Quest,user is a primary or participating quester
353,ADHD ,diagnosed with ADHD or suspects ADHD
354,Excess Alcohol,"dealing with stress by excessive drinking, binge drinking, relationships and connectedness"
355,Anger ,"difficulty controlling anger or rage, needs help with mindfulness and self-regulation"
356,Clinical Anxiety,"for preclinical, go to stress
"
357,Attendance Problems,"user has problems going to and staying at school or work on time/for required time consistently, frequent call-outs"
358,Autism (Self),"diagnosed with autism (with or without speech delay), pervasive developmental disorder, global delays"
359,Challenging Behaviors,"Do we need separate ones for adult and kids? @Caitlin Ryan Marcus If so the school conduct problem can be for kids.
"
360,Job Hunting,"tough job market, hard to find employment after college even if highly qualified, tons of competition"
361,Communication Deficits,"want to become a more effective communicator, advocate for self, improve relationships
"
362,Bored,"no purpose, nothing to do
"
363,Discrimination/Racism,"user is part of a marginalized group, exclusion, bullying, microaggression"
364,Drug Use,"cocaine, heroin, pills, ketamine, fentanyl, crack cocaine, methamphetamines"
365,Executive Functioning Skills,"user's ability to plan ahead, control impulses. adhd, autism, learning disabilities, intellectual disability, addiction
"
366,Good Families,already pretty good family dynamimcs and motivated to maintain or grow further
367,Build wealth,"want to make more money, save money, invest money"
368,Bad Friends,"bad influences or friends who don't support them.  have these friends but still lonely
"
369,Hyperactivity/Inattention,Pre-ADHD diagnosis
370,Intellectual disability ID,diagnosis of intellectual disability/low IQ
371,Learning disability,"Dyslexia, dysgraphia, auditory processing difficulties, dyspraxia "
372,Poor Marriage,"marriage has problems, arguments, fighting, addiction, etc
"
373,Poor Mental Health,Pre-diagnosis
374,Motivation and procrastination,not quite on top of things but not yet behind on work.  
375,Parenting Stress,"struggling with connecting with kids and discipline
"
376,Perfectionism,Fear of failure and feeling unnecessary stress from perfectionism
377,Personal Care and Hygiene,skills related to taking care of oneself
378,Declining physical health,want to get healthier. general health problems.   no series illnesses
379,Resilience,"giving up too quickly or easily, can't bounce back"
380,Self-Regulation and Coping,"""overreacting"" "
381,Estranged families,"family members on non-speaking terms (i.e. grandparents, siblings)"
382,Need Tolerance Inclusion,"extremists, bigots.  people who need more tolerance"
383,Trauma,"emotional abuse, need help setting boundaries"
384,Stress,general stress management
385,Debt,trying to get rid of debt and save more
386,Sleep Disturbance,"Unhealthy sleeping patterns, like inability to fall or stay asleep, frequent waking at night, consistently getting less than 7 hours per night"
387,Eating Disorder,"anorexia, bulimia, binge eating"
388,Aging,"dealing with natural changes in appearance, physical, mental capacities.  For disease, also tag Poor physical health"
389,Vaping/Smoking,Consuming nicotine vapor or cigarette smoke
390,Maintaining Employment,"keeping up with job duties harder for people with autism, adhd, depression, bipolar, substance abuse"
391,Just Relocated,"moved house recently, assimilation, culture shock, loneliness, making friends"
392,Diagnosed Depression,"diagnosis of depression or persistent depression symptoms, no energy, no pleasure, can escalate to suicide"
393,Behind on work,"boss has noticed loss of productivity, performance improvement plan"
394,FBA,working with an ABA agency or school on obtaining an FBA
395,Sibling Rivalry,"Interpersonal problems or fighting between siblings, need help with communication, boundaries, parent relations"
396,Suicidal Ideations,having thoughts about suicide or dying
397,Suicide Risk,action plans made for suicide and need external support
398,Emotional Abuse,"neglected or gaslit by romantic partner, parent, caregiver, trauma bonds"
399,Divorcing parents,user's parents are separated/divorced or separating/divorcing. 
400,No Friends,"user wants to make friends
"
401,SPED caregiver,burnout and stress from caring for high needs family members
402,Transition to adulthood/independence,"special ed and older teens/young adults who are finishing college, moving out, getting their own place, figuring out how to be independent"
403,Loneliness,"having no friends, feel like they have no one to talk to "
404,Poor social skills,"has a hard time connecting with other people, having smooth conversations, knowing how to act in certain situations"
405,Social anxiety,"difficulty approaching others, ordering food, making phone calls, can also be neurodivergent or have clinical anxiety"
406,Lack of confidence,"wants to gain confidence and feel good about themselves
"
407,Personal Growth and Self-Actualization,this user is seeking more fulfillment and purpose in life
408,Hoarding,
409,Poverty,"living below the poverty line or significant debt. money troubles, no savings, can't pay bills every month"
410,Bipolar,"diagnosed with bipolar 1 or 2, or cyclothymia (a less severe version of BP2)"
411,Chronic illness,"lupus, diabetes, parkinsons, fibromyalgia, multiple sclerosis, and other progressive, terminal, or longterm medical diagnoses"
412,Sportmanship,"sore loser, too competitive"
413,General Intake,
414,Physical abuse,"punching, hitting, choking, scratching, throwing items "
415,Sexual abuse,"unwanted touching, sexual harrassment, rape, sexual assault, adult on adult, adult on minor"
